Text,Source
"Last week, Sen. Malcolm Wallop -LRB- R., Wyo. -RRB- held hearings on a bill to strengthen an existing law designed to reduce regulatory hassles for small businesses.",ontonotes5
"Rules that set standards for products or govern business behavior, generally the best regarded form of red tape, ``create a level playing field and keep unscrupulous competitors away ,'' says Sidney West, president of TechDesign International Inc., a Springfield, Va., business that designs telecommunication and other products.",ontonotes5
"Determining when handicapped access is required can be a nightmare for architects, says Mark Dooling, president of Dooling & Co., a Newton, Mass., architectural firm.",ontonotes5
"``It's very costly and time-consuming ,'' says Phil Rosen, a partner in Fleet & Leasing Management Inc., a Boston car-leasing company.",ontonotes5
"Next to medical insurance, ``costs of compliance'' are the fastest-growing expense at Impco Inc., a Providence, R.I., chemical company.",ontonotes5
"Eastern Reproduction Corp., a Waltham, Mass., maker of thin metal precision parts, must report to five federal and state agencies as well as to local fire, police, hospital and plumbing authorities, says Robert Maguire, president.",ontonotes5
"It's especially nettlesome ``if you're on the road and you're the one responsible ,'' says Eddie Brown, president of Brown Capital Management Inc., a Baltimore money-management firm.",ontonotes5
"Revising employee manuals on pensions, health care and other subjects costs over$ 25,000 a year for Bert Giguiere, president of Professional Agricultural Management Inc., a Fresno, Calif., provider of business services to farmers.",ontonotes5
"Alice Fixx, who runs her own public-relations concern in New York, says she has had to overhaul her pension and profit-sharing plans three times in the past three years.",ontonotes5
"``You need one person to just take care of sales tax ,'' says Jennie Tong, executive vice president of Lee Liu & Tong Advertising Inc., New York.",ontonotes5
"It was a predictable revival of her prize-winning off-Broadway anthology of Bertolt Brecht's theoretical writings, called ``No Plays, No Poetry.''",ontonotes5
"For Ms. Bogart, who initially studied and directed in Germany -LRB- and cites such European directors as Peter Stein, Giorgio Strehler and Ariane Mnouchkine as influences -RRB- tends to stage her productions with a Brechtian rigor--whether the text demands it or not.",ontonotes5
"At Chase Manhattan Bank in New York, for example, the yield on a small denomination six-month CD fell about a quarter of a percentage point to 8.06%.",ontonotes5
"In California, Bank of America dropped the yield on both six-month and one-year ``savings'' CDs to 8.33% from 8.61%.",ontonotes5
"Lion Nathan Ltd. agreed to buy the franchise to bottle, distribute and market Pepsi-Cola soft-drink products in Australia, the company said.",ontonotes5
The New Zealand brewing and retail concern didn't disclose terms.,ontonotes5
The agreement is effective Jan. 1 and is subject to approval from Australia's Foreign Investment Review Board.,ontonotes5
"Lion Nathan and PepsiCola Australia, a unit of PepsiCo Inc. of the U.S., didn't say why Cadbury Schweppes will no longer hold the franchise.",ontonotes5
"Mr. Miller said that Wang has already sold some$ 12 million of miscellaneous assets and disclosed that it had received$ 13 million from Compaq Computer Corp., Houston, in the previously announced sale of its Stirling, Scotland, plant.",ontonotes5
"Mr. Miller repeated that in the next six months he plans to sell another$ 200 million to$ 300 million of assets to repay debt and reduce interest costs at Wang, a minincomputer maker in Lowell, Mass.",ontonotes5
"Murata Mfg. Co. said it is establishing a subsidiary in Britain to produce electric parts, including ceramic condensers.",ontonotes5
The Tokyo maker of ceramic capacitors said it purchased a plant in Plymouth.,ontonotes5
"The company, which has a European foothold, Murata Europe Management G.m.b. H. in Germany, said the latest venture is designed to meet demand for electric parts in European Community countries ahead of the creation of the unified market by the end of 1992.",ontonotes5
"The Oakland grocery retailer, closely held since a$ 4.2 billion leveraged buy-out in 1986, said profit for the three months ended Sept. 9 was$ 7.1 million, compared with$ 23 million a year earlier.",ontonotes5
